"emp_no","dept_no","first_name","last_name","birth_date","from_date","to_date","title_name"
10095,"d007","Hilari","Morton","1965-01-03","1994-03-10","9999-01-01","Senior Staff"
10122,"d005","Ohad","Esposito","1965-01-19","1998-08-06","9999-01-01","Technique Leader"
10291,"d007","Dipayan","Seghrouchni","1965-01-23","1987-03-30","9999-01-01","Senior Staff"
10476,"d008","Kokou","Iisaka","1965-01-01","1987-09-20","9999-01-01","Senior Staff"
10663,"d004","Teunis","Noriega","1965-01-09","1999-02-12","9999-01-01","Technique Leader"
10762,"d008","Lech","Himler","1965-01-19","1992-01-21","9999-01-01","Senior Staff"
10933,"d004","Juyoung","Seghrouchni","1965-01-24","1993-08-02","9999-01-01","Senior Engineer"
12155,"d004","Keiichiro","Glinert","1965-01-21","1993-09-16","9999-01-01","Senior Engineer"
12408,"d005","Rasiah","Sudkamp","1965-01-10","1995-04-18","9999-01-01","Senior Engineer"
12643,"d002","Morrie","Schurmann","1965-01-30","1998-12-31","9999-01-01","Staff"
13499,"d004","Kazuhiko","Sidou","1965-01-16","1991-09-01","9999-01-01","Technique Leader"
14075,"d005","Denny","Tchuente","1965-01-03","1991-05-30","9999-01-01","Engineer"
14104,"d003","Sudhanshu","Demian","1965-01-03","1994-07-23","9999-01-01","Senior Staff"
14127,"d004","Magdalena","Cannard","1965-01-10","1994-04-22","9999-01-01","Senior Engineer"
14158,"d007","Caolyn","Setiz","1965-01-22","1990-02-06","9999-01-01","Senior Staff"
14476,"d004","Sastry","Marrevee","1965-01-19","1999-09-25","9999-01-01","Engineer"
14907,"d007","Nakhoon","Luga","1965-01-14","1986-12-18","9999-01-01","Senior Staff"
15050,"d004","Nikolaos","Kruskal","1965-01-18","1990-12-17","9999-01-01","Senior Engineer"
15058,"d002","Bouchung","Bugrara","1965-01-30","1990-06-18","9999-01-01","Senior Staff"
15413,"d005","Arvin","Rabejac","1965-01-17","1994-01-01","9999-01-01","Senior Engineer"
16461,"d007","Remmert","Schahn","1965-01-14","1986-09-06","9999-01-01","Senior Staff"
16528,"d004","Gaurav","Swick","1965-01-21","1996-05-07","9999-01-01","Engineer"
17013,"d002","Morris","Garigliano","1965-01-15","1995-05-24","9999-01-01","Senior Staff"
17206,"d004","Berry","DeMori","1965-01-02","1992-12-27","9999-01-01","Senior Engineer"
17369,"d004","Yaghout","Kenevan","1965-01-31","2000-09-15","9999-01-01","Senior Engineer"
17447,"d007","Zengping","Boreale","1965-01-11","1998-12-16","9999-01-01","Staff"
17731,"d005","Gennady","Roison","1965-01-16","1989-12-06","9999-01-01","Engineer"
17970,"d004","Filipp","Carrere","1965-01-06","1989-01-09","9999-01-01","Technique Leader"
